COMMAND    PID     USER   FD   TYPE DEVICE SIZE/OFF       NODE NAME
afl-fuzz 14452 quanlili  cwd    DIR   8,10     4096   14422564 /home/quanlili/afl
afl-fuzz 14452 quanlili  rtd    DIR    8,9     4096          2 /
afl-fuzz 14452 quanlili  txt    REG   8,10   276400   14433971 /home/quanlili/afl/afl-fuzz
afl-fuzz 14452 quanlili  mem    REG    8,9  1868984    1182361 /lib/x86_64-linux-gnu/libc-2.23.so
afl-fuzz 14452 quanlili  mem    REG    8,9   138696    1178197 /lib/x86_64-linux-gnu/libpthread-2.23.so
afl-fuzz 14452 quanlili  mem    REG   8,11  6239064   14161549 /usr/local/lib/libcrypto.so.1.1
afl-fuzz 14452 quanlili  mem    REG    8,9    14608    1178189 /lib/x86_64-linux-gnu/libdl-2.23.so
afl-fuzz 14452 quanlili  mem    REG    8,9   162632    1178193 /lib/x86_64-linux-gnu/ld-2.23.so
afl-fuzz 14452 quanlili  mem    REG   8,10     6400    1318174 /home/quanlili/afl_test/openssl_output/queue/id:000001,orig:bigxa.cert10
afl-fuzz 14452 quanlili  mem    REG   8,10     5287    1318173 /home/quanlili/afl_test/openssl_output/queue/id:000000,orig:bigxa.cert1
afl-fuzz 14452 quanlili  mem    REG   8,10     1749    5515541 /home/quanlili/afl_test/openssl_output/queue/id:000061,src:000012,op:flip1,pos:0,+cov
afl-fuzz 14452 quanlili  mem    REG   8,10     1749    1318185 /home/quanlili/afl_test/openssl_output/queue/id:000012,orig:bigxa.cert19.pem
afl-fuzz 14452 quanlili  DEL    REG    0,5          1513685023 /SYSV00000000
afl-fuzz 14452 quanlili    0u   CHR 136,20      0t0         23 /dev/pts/20
afl-fuzz 14452 quanlili    1u   CHR 136,20      0t0         23 /dev/pts/20
afl-fuzz 14452 quanlili    2u   CHR 136,20      0t0         23 /dev/pts/20
afl-fuzz 14452 quanlili    3w   REG   8,10      392    4469509 /home/quanlili/.cgdb/logs/cgdb_log1.txt
afl-fuzz 14452 quanlili    4w   REG   8,10 11835758    4469510 /home/quanlili/.cgdb/logs/cgdb_gdb_io_log1.txt
afl-fuzz 14452 quanlili    5u   CHR    5,2      0t0       1110 /dev/ptmx
afl-fuzz 14452 quanlili    6u   CHR 136,18      0t0         21 /dev/pts/18
afl-fuzz 14452 quanlili    7r   CHR 136,19      0t0         22 /dev/pts/19
afl-fuzz 14452 quanlili    8rW  DIR   8,10     4096    5505167 /home/quanlili/afl_test/openssl_output
afl-fuzz 14452 quanlili    9u   CHR    1,3      0t0       1029 /dev/null
afl-fuzz 14452 quanlili   10r   CHR    1,9      0t0       1034 /dev/urandom
afl-fuzz 14452 quanlili   11w   REG   8,10      346    5505176 /home/quanlili/afl_test/openssl_output/plot_data
afl-fuzz 14452 quanlili   12r  FIFO   0,10      0t0   45777933 pipe
afl-fuzz 14452 quanlili   15w  FIFO   0,10      0t0   45777934 pipe
